element_id,flow_rate,head,kin_viscosity,mask_viscosity,mask_coverage,mask_total
0,7.773882050997686,25.42192542166421,0.8004884276640363,True,True,True
1,63.78739241454104,22.32645770458671,0.914607938257648,True,True,True
2,7.409530923881189,25.858658007335578,2.0635621781436675,True,True,True
3,739.0130173213704,43.65671623881354,0.5119164530154066,True,False,False
4,19.27193684086845,7.892337432439739,6.081461852420067,True,True,True
5,1.052900344573074,47.97015823400288,0.4900988941631288,True,False,False
6,3.990216405844775,74.06594952465102,0.7483267422450104,True,True,True
7,1.7755789812732203,37.88281628500418,1.0707909364741857,True,False,False
8,33.42496916362105,40.43355449995884,118.66314996766056,False,True,False
9,5.261213628610017,9.291447685011132,1.18318998416566,True,True,True
10,15.63803914367655,43.09487178531727,1.4413735225131872,True,True,True
11,58.88340336448473,41.043578467423686,1.3365503283445113,True,True,True
12,8.59340945061107,43.53637925971278,1196.3846258146637,False,True,False
13,72.79035919980936,22.244571555743036,0.7200877685571933,True,True,True
14,20.43802799852089,34.05453717110041,1.398559036905948,True,True,True
15,103.5156388983105,16.827608314381912,1.324557878675999,True,True,True
16,148.9947743979532,56.08168413885502,0.2891849719842255,True,True,True
17,8.405058310873615,2783.223980613527,3.751960111982572e-06,True,False,False
18,15.227732882929804,34.24471093541185,36.25419231250202,False,True,False
19,27.18499250632067,23.398322242998145,1.048249361533523,True,True,True
20,0.6563789687325648,9.003923372136459,0.3702093432867839,True,False,False
21,2.204548553236448,90.4522898595936,0.3113811928747296,True,False,False
22,65.87352998518011,23.31748557628805,0.3083611662550305,True,True,True
23,36.6152190177534,31.89234399285928,0.464094332122753,True,True,True
24,103.3638765144219,21.20944023354271,0.5743064308148536,True,True,True
25,321.34904279554235,36.45892078854299,15.369478839077518,False,True,False
26,67.97925771050144,103.0967504562296,1.1033943048508017,True,True,True
27,10.509165044938015,30.75257352896681,3889.577608441688,False,True,False
28,144.58108360115548,21.32592278873249,0.3932701791249117,True,True,True
29,40.270267435474445,51.38775310388287,14.415649634632192,False,True,False
30,8.26033243987163,31.75667550272962,8.707517125472338,True,True,True
31,17.360931107936697,57.73091477434502,1.4961772807851133,True,True,True
32,0.610015671682857,34.955361516753094,2.290647241508584e-07,True,False,False
33,2.191646052826188,15.63314182147403,0.5143101026748713,True,True,True
34,12.904076073092126,16.202491382068676,1666.2156640484038,False,True,False
35,3.0244339984883046,94.60001935271666,0.3350628525906486,True,False,False
36,17.18914806706203,33.46511581033196,2.037871352090008,True,True,True
37,33.27759685488546,45.60103180583081,0.7426413599262727,True,True,True
38,252.2575052654668,86.18137459767976,173.46507253121356,False,True,False
39,37.562581241715264,33.096266142925565,0.4496916230007015,True,True,True
40,38.41724955125268,32.72435882261515,0.2231032557074513,True,True,True
41,1.3867507157200394,62.50504141113717,3.981455752118475,True,False,False
42,3.0982419502676666,56.55222474494548,4.65016660533513,True,True,True
43,0.7641622854069203,31.588958046371893,15.385181471830428,False,False,False
44,9.679043019418875,18.125831588242427,0.4540893113141021,True,True,True
45,13.45930589539654,108.6814363422266,0.7513333842049691,True,True,True
46,123.4826955710154,34.6792736494519,71.59266605286884,False,True,False
47,33.641857335852265,27.054466409504297,3.064495023309209,True,True,True
48,0.7525477964751668,24.78209799167212,51.52415568019316,False,False,False
49,38.03946095750416,103.5184123253059,0.1875392282970847,True,True,True
50,1.4071206461744032,640.7398263763208,4.378866505042556,True,False,False
51,17.250211297822432,25.8751013067102,14.940630654126531,False,True,False
52,218.1062947724759,36.71925154022083,46.63425557665983,False,True,False
53,0.4532527246071132,41.85183557227924,47.45505247405819,False,False,False
54,4.264496665823264,35.273553628410994,2.2206886576429967e-06,True,True,True
55,2.586852193820052,85.65778005229708,0.247002230984789,True,False,False
