cplex,glpk,gurobi
0.10325908660888672,0.42571401596069336,0.3258223533630371
0.07186555862426758,0.42339491844177246,0.3236117362976074
0.08155035972595215,0.4268195629119873,0.3230855464935303
0.07855081558227539,0.4295976161956787,0.32172727584838867
0.07028555870056152,0.4231085777282715,0.33214592933654785
0.09307575225830078,0.5295372009277344,0.32867860794067383
0.08913564682006836,0.626279354095459,0.42444491386413574
0.11759114265441895,0.625347375869751,0.32408690452575684
0.09047746658325195,0.5353772640228271,0.3302035331726074
0.1202707290649414,0.6364965438842773,0.3267631530761719
0.08750414848327637,0.5311405658721924,0.32887768745422363
0.09373688697814941,0.6308391094207764,0.3300340175628662
0.10332441329956055,0.6327073574066162,0.3318216800689697
0.09339070320129395,0.5377101898193359,0.3287224769592285
0.0852518081665039,0.7345073223114014,0.323322057723999
0.10063958168029785,0.5250844955444336,0.33372020721435547
0.07736992835998535,0.5270159244537354,0.33379101753234863
0.10195183753967285,0.5332603454589844,0.3274810314178467
0.08389449119567871,0.527106761932373,0.3298811912536621
0.08437466621398926,0.6389079093933105,0.32354259490966797
0.11534333229064941,0.5252799987792969,0.3364264965057373
0.09292340278625488,0.5348951816558838,0.3301427364349365
0.0934457778930664,0.5291492938995361,0.3233311176300049
0.1012580394744873,0.5233960151672363,0.3342165946960449
0.08632278442382812,0.6357324123382568,0.3334336280822754
0.10002517700195312,0.5330405235290527,0.32473301887512207
0.094024658203125,0.5324664115905762,0.3232085704803467
0.11104130744934082,0.6295688152313232,0.4291377067565918
0.0897057056427002,0.637598991394043,0.3276491165161133
0.2300586700439453,0.5357344150543213,0.3223850727081299
0.08095788955688477,0.527256965637207,0.3302137851715088
0.08281683921813965,0.6310427188873291,0.33611464500427246
0.10379481315612793,0.5324504375457764,0.4295003414154053
0.08408665657043457,0.6394391059875488,0.32651376724243164
0.0922398567199707,0.5300016403198242,0.3291282653808594
0.10387206077575684,0.4336848258972168,0.4333057403564453
0.10117888450622559,0.5242326259613037,0.3344864845275879
0.08704781532287598,0.6345922946929932,0.3264310359954834
0.10277915000915527,0.5235235691070557,0.33777904510498047
0.09223628044128418,0.634934663772583,0.32944297790527344
0.09056878089904785,0.5292980670928955,0.33708930015563965
0.12463641166687012,0.5257303714752197,0.3302462100982666
0.07966423034667969,0.5356063842773438,0.3276660442352295
0.09393501281738281,0.530592679977417,0.3254985809326172
0.08348345756530762,0.5343010425567627,0.3267781734466553
0.0894927978515625,0.5215072631835938,0.33029603958129883
0.10324668884277344,0.5238521099090576,0.3357229232788086
0.10285735130310059,0.6313002109527588,0.33589887619018555
0.08431863784790039,0.6339190006256104,0.3343360424041748
0.10733771324157715,0.5244228839874268,0.32278919219970703
